epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,10,-191,-19.1,-0.340317664691
2,9,-188,-20.8888888889,-0.273560513831
3,6,-120,-20.0,-0.161674080271
4,4,-63,-15.75,-0.138630696661
5,4,-72,-18.0,-0.108768180578
6,6,-104,-17.3333333333,-0.0679461584741
7,2,-7,-3.5,-0.0329999850539
8,4,-64,-16.0,-0.0687370590609
9,3,-46,-15.3333333333,-0.0395343053667
10,4,-69,-17.25,-0.022510078901
11,3,-51,-17.0,-0.0035847835103
12,3,-53,-17.6666666667,-0.000843195016496
13,3,-49,-16.3333333333,0.00654756761156
14,3,-48,-16.0,-0.0363854722702
15,2,-15,-7.5,0.0495972372964
16,3,-37,-12.3333333333,-0.0177252004156
17,2,-33,-16.5,-0.020338716784
18,2,-23,-11.5,-0.00588849216467
19,2,-17,-8.5,-0.0294552756846
20,2,-35,-17.5,-0.0136751342588
21,3,-46,-15.3333333333,0.0448244254617
22,2,-33,-16.5,-0.0233604501002
23,1,-10,-10.0,-0.0308320099872
24,2,-31,-15.5,0.028569134
25,2,-25,-12.5,0.00331644747173
26,2,-28,-14.0,-0.00321223953855
27,1,-11,-11.0,-0.0187249938515
28,1,7,7.0,-0.00548739374615
29,2,-5,-2.5,-0.00794548780308
30,1,-11,-11.0,-0.00303008606425
31,1,-9,-9.0,0.048327305367
32,1,-8,-8.0,-0.0160811037791
33,1,-12,-12.0,-0.0414427086874
34,1,-5,-5.0,-0.015824713764
35,1,-7,-7.0,-0.00466049314244
36,1,-6,-6.0,0.000880858455785
37,2,-17,-8.5,-0.0353664163593
38,1,-1,-1.0,0.0388162745454
39,2,-27,-13.5,0.0174208468699
40,2,-11,-5.5,0.0174552475289
41,1,-3,-3.0,0.00369952964596
42,1,-4,-4.0,0.0137752334389
43,1,3,3.0,0.0189262579556
44,2,-15,-7.5,-0.00620387158939
45,1,6,6.0,-0.00193994276226
46,1,4,4.0,0.00455178981298
47,1,-1,-1.0,0.0136597493
48,1,1,1.0,0.0318949545943
49,1,2,2.0,0.0242675505183
50,2,10,5.0,0.0596862934635
51,1,6,6.0,0.0689305441745
52,11,-219,-19.9090909091,0.016336687177
53,1,6,6.0,0.0252606807312
54,2,22,11.0,0.0641367605561
55,2,1,0.5,0.057709671784
56,2,8,4.0,0.104913721912
57,2,14,7.0,0.0421008824371
58,2,8,4.0,0.0515994774783
59,2,24,12.0,0.0513307497744
60,3,21,7.0,0.0286975157075
61,3,15,5.0,0.035188066432
62,3,28,9.33333333333,0.0321595231106
63,2,21,10.5,0.037299463572
64,3,34,11.3333333333,0.0410725869378
65,3,37,12.3333333333,0.00551727983751
66,3,34,11.3333333333,0.0159170564706
67,3,40,13.3333333333,0.0430730648641
68,4,68,17.0,0.0521406718367
69,4,65,16.25,0.0753433485469
70,4,67,16.75,0.0256848651171
71,4,71,17.75,0.0645462923509
72,4,61,15.25,0.0520571525162
73,5,92,18.4,0.0635486835393
74,4,68,17.0,0.0699011390854
75,5,94,18.8,0.0795763605798
76,4,72,18.0,0.0414795870299
77,5,97,19.4,0.0630071656755
78,4,71,17.75,0.0613739327108
79,4,59,14.75,0.0418779798085
80,5,92,18.4,0.0451516123023
81,4,62,15.5,0.060528674497
82,4,63,15.75,0.0449397275562
83,4,71,17.75,0.00954483027919
84,5,101,20.2,0.0510560897982
85,5,101,20.2,0.0567901072756
86,5,91,18.2,0.0295893803076
87,4,65,16.25,0.0498231891287
88,5,95,19.0,0.0761521495332
89,5,91,18.2,0.0302156001981
90,4,71,17.75,0.0483694259671
91,5,100,20.0,0.0569140296103
92,4,73,18.25,0.0299294254661
93,5,94,18.8,0.0436211103329
94,5,97,19.4,0.0258455761208
95,4,63,15.75,0.0442134247592
96,4,73,18.25,0.0305139385141
97,4,77,19.25,0.0243656517996
98,5,95,19.0,0.0303485494643
99,5,94,18.8,0.0309598184703
100,4,74,18.5,0.030238338554
